read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,aln_block_len
7f520554-de38-43dc-9474-d1210b538ec6,388,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,11532,11898,161,367
7bb80bec-abae-4600-a480-21beac1df98f,391,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,17822,18186,287,365
5708c101-bf0f-4e1c-baae-af173a6e2b20,392,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,13041,13409,231,369
d7c30aa5-8a70-4a54-abbb-41573cfe8948,449,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,15178,15536,223,363
79480c08-b8a2-4c4c-911a-ce1abbf515ba,405,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,16411,16778,239,367
7131c302-5631-4326-bef5-b8ecf4eab855,404,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,11804,12170,264,373
f525b725-8999-4331-a744-b5b61ca5fcbc,397,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,2200,2545,153,348
2fdb48b8-3ae3-4fa4-ac2a-401d3499ceaa,395,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,10687,11053,281,367
78f1e402-80e0-4745-8ac4-40f45ce42c9a,419,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,14300,14657,177,357
51d27af2-347f-4c6a-b4d0-b6f4495f1feb,279,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,12302,12483,165,182
8eb7eea3-b082-433f-92a2-a53e3f00d68f,394,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,13728,14048,203,326
a1cd8380-eb4f-40ff-af18-89461643df31,283,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,10723,10928,140,205
23915a39-20e1-4356-9351-38a04d010736,387,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,976,1284,238,309
25916c78-c146-45ee-a5df-9bc1366fbceb,279,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,7682,7906,192,225
84f75718-a5a3-4ed7-abe4-e2e8bfa3d79d,392,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,10433,10746,199,315
dd5d9f76-2792-441a-a67b-bcc0b49a8d6c,424,2019-08-30T14:41:42Z,none,*,0,0,0,0,0
65de6e36-cd20-4ca4-9e16-4c5af22c1680,407,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,3114,3493,244,392
81fc62be-0dd3-40f4-8420-465ba013ce0c,413,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,8248,8628,210,381
a4678870-4c49-4dc7-91c6-9538ad9b04bc,340,2019-08-30T14:41:43Z,none,NiV|human|MYS|Nipah|1999,18246,14614,14909,228,297
