read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,aln_block_len
d52c18a0-462c-4c60-95b8-d411df23c7c6,401,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,13375,13712,282,337
972289a7-7315-4430-9984-1db03816ad4e,178,2019-08-30T14:40:03Z,none,*,0,0,0,0,0
3271e217-2ed8-41b8-b00a-e9cee6302106,399,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,805,1010,110,208
3271e217-2ed8-41b8-b00a-e9cee6302106,399,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,13600,13696,74,96
ea112645-4883-405a-bc9d-5eb5a9e7f692,372,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,3132,3494,265,364
ae5dbb32-c6d3-490c-8bc1-8f9a54994023,275,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,10684,10879,148,197
39577797-0edc-400b-8f05-5c8d7fefb2ea,411,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,2184,2529,235,348
e46373b8-ff4e-4af8-a776-085494c00956,416,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,11263,11632,174,371
9b1189af-7df7-4e79-9d16-c140f2a707e4,280,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,1650,1929,155,280
b8079a05-c05a-4d47-9e84-784a7d667bf5,259,2019-08-30T14:40:04Z,none,NiV|human|MYS|Nipah|1999,18246,3630,3788,120,158
48a0e269-e0e5-4c3b-ba88-cff3b8d3e6c9,424,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,15498,15880,264,382
5e7500d6-e3e8-4ffe-aaef-fb78ae3f6fa7,393,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,2853,3168,253,317
f883a819-f55c-411e-a16b-87e5dbb55cbc,407,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,9771,10135,279,367
cd2527fa-3725-48b6-97ee-c754b05e23cb,407,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,7026,7401,221,377
83368a04-8bdf-4f2a-9860-c07765566aed,401,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,17363,17723,220,364
7d119a53-05e0-4661-b375-75b8e43b0273,708,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,12720,13065,229,348
951aeb55-b72a-4619-b763-db697ddffff8,411,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,17344,17671,237,327
a39651c0-7f2e-41d3-8ec2-04a0a52cdcd4,424,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,17835,18176,223,348
9a56139d-3078-4c74-adba-9f8d48601374,780,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,6422,6777,226,357
9a56139d-3078-4c74-adba-9f8d48601374,780,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,14877,15254,218,378
658f130a-b1c1-4fb9-a07e-3e182c08ffcb,398,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,14422,14639,85,217
bd7d191f-697f-48c6-82fc-760981577c5e,405,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,7039,7365,185,333
a3f831b9-d838-4c88-94a9-b176cb87e330,408,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,5830,6150,222,321
aedcaa04-dabd-422f-a1ad-9b97a6105545,365,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,1936,2170,114,237
702ed730-ceda-4f10-875f-4ee2145c85f8,424,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,349,716,206,373
7cbbc620-4eea-4925-ac81-73f5ffdb4d68,418,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,1548,1870,236,326
e918a502-7f14-45c8-a7aa-580b740e2793,431,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,15199,15549,267,355
1a0fb97c-72df-4b27-9089-033f7e08f463,336,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,439,648,113,209
10ca54fa-6364-4ec3-9766-959784c8b1dc,414,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,11525,11888,304,364
f935505b-4605-4d2a-81f5-df0b1527f715,399,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,11295,11639,249,351
5311d652-5ce0-4543-9eb9-883540f8978a,404,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,13068,13399,170,337
129adcd6-4e05-43bb-82b3-fe9332b2321d,416,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,8540,8848,187,315
9cf51259-dc88-4402-aca8-826a627c05fa,414,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,16410,16778,262,371
b08d5a6b-c6e6-426b-b60e-94f172e93b21,393,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,11295,11639,193,344
65562cd6-f230-4fa4-b3ca-6c4a5134e3ec,418,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,949,1325,186,381
08eae85e-7f54-4232-b805-3a1d3f15f1e2,315,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,6212,6478,195,267
060a12c6-0c7f-4d7a-ac3e-b58e677d59b4,433,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,16724,17053,203,344
b665607e-e017-4a61-abab-d9345a0a675a,290,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,1650,1917,195,269
1f6e44f6-5eb5-4252-a116-d12e388b0f03,421,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,14309,14639,163,333
0f0d42fc-5ead-4053-8b7e-d52d2d022048,365,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,9582,9842,138,261
0d2335a3-70fc-4599-83ac-dfeca70822ca,444,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,379,725,283,355
8e087d46-b33a-4799-ab32-1030491d1cf0,448,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,5502,5886,233,397
6fa22956-3815-484f-b062-40fea545bb59,284,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,11666,11874,123,211
e4c2156d-a012-4d79-bc7f-59c39ec5c9e3,384,2019-08-30T14:40:03Z,none,NiV|human|MYS|Nipah|1999,18246,2184,2545,185,366
46c611d0-163c-420c-9a82-0c3bd441d3dd,467,2019-08-30T14:40:02Z,none,NiV|human|MYS|Nipah|1999,18246,1589,1929,141,396
f8bb157a-28b2-4657-abee-1f6dc5da16af,404,2019-08-30T14:40:05Z,none,NiV|human|MYS|Nipah|1999,18246,10140,10451,168,313
24ba7ccd-b834-4d5e-84f8-48f3f4b6b2e9,399,2019-08-30T14:40:05Z,none,NiV|human|MYS|Nipah|1999,18246,4915,5264,252,354
2603ed1c-6dbc-4624-9a1a-ba5c3f700151,401,2019-08-30T14:40:04Z,none,NiV|human|MYS|Nipah|1999,18246,1557,1929,236,377
